PHASE - I - Video Course######
94#112103112#Mechanical Engineering#Mechanical Vibrations#Prof. Rajiv Tiwari,Prof. S.K. Dwivedy#1#Video
95#112104121#Mechanical Engineering#Kinematics of Machines#Prof. Ashok K Mallik#1#Video
96#112104114#Mechanical Engineering#Dynamics of Machines#Prof. Amitabha Ghosh#1#Video
97#112104115#Mechanical Engineering#Finite Element Method#Prof. C.S. Upadhyay#1#Video
98#112105124#Mechanical Engineering#Design of Machine Elements I#Prof. S.K. Roychowdhury,Prof. B. Maiti,Prof. G. Chakraborty#1#Video
99#112105126#Mechanical Engineering#Manufacturing Processes II#Prof. A.K. Chattopadhyay,Prof. A.B. Chattopadhyay,Prof. S. Paul#1#Video
100#112105128#Mechanical Engineering#Refrigeration and Air Conditioning#Prof. R.C. Arora,Prof. M. Ramgopal#1#Video
101#112106138#Mechanical Engineering#Mechanical Measurements and Metrology#Prof. S.P. Venkateshan,Prof. Shunmugam M. S#1#Video
102#112106131#Mechanical Engineering#Advanced Operations Research#Prof. G. Srinivasan#1#Video
103#112107147#Mechanical Engineering#Strength of Materials#Dr. S.P. Harsha#1#Video
104#112107143#Mechanical Engineering#Industrial Engineering#Dr. D.K. Dwivedi,Dr. Inderdeep Singh,Prof. Pradeep Kumar,Prof. P.K. Jain#1#Video
105#112107145#Mechanical Engineering#Manufacturing Processes I#Dr. D.K. Dwivedi,Dr. Inderdeep Singh,Dr. D. Benny Karunakar#1#Video
106#112106140#Mechanical Engineering#Principles of Mechanical Measurements#Prof. R. Raman#1#Video
107#112106135#Mechanical Engineering#Introduction to Finite Element Method#Dr. R. Krishnakumar#1#Video
108#102105034#Chemistry and Biochemistry#BioChemistry I#Prof. S. Dasgupta#1#Video
109#114105030#Ocean Engineering#Performance of Marine Vehicles at Sea#Prof. S.C. Misra,Prof. Debabrata Sen#1#Video
110#122102004#Basic courses(Sem 1 and 2)#Applied mechanics#Prof. R.K. Mittal,Prof. Sanjeev Sanghi#1#Video
111#122102007#Basic courses(Sem 1 and 2)#Management Science I#Prof. Anuradha Sharma#1#Video
112#102102033#Biotechnology#Enzyme Science and Engineering#Prof. Subhash Chand#1#Video
113#122106034#Basic courses(Sem 1 and 2)#Quantum Physics#Prof. V. Balakrishnan#1#Video
114#122106027#Basic courses(Sem 1 and 2)#Classical Physics#Prof. V. Balakrishnan#1#Video
115#117106093#&Electronics && Communication Engineering&#VLSI Technology#Dr. Nandita Dasgupta#1#Video
116#112106130#Mechanical Engineering#Advanced Finite Elements Analysis#Dr. R. Krishnakumar#1#Video
117#112106134#Mechanical Engineering#Fundamentals of Operations Research#Prof. G. Srinivasan#1#Video
118#114105031#Ocean Engineering#Strength and Vibration of Marine Structures#Prof. A.H. Sheikh,Prof. S.K. Satsangi#1#Video
119#123105001#Mining Engineering#Fundamentals of Environmental Pollution and Control#Prof. J. Bhattacharyya#1#Video
120#108105056#Electrical Engineering#Dynamics of Physical Systems#Prof. S. Banerjee#1#Video
121#117105084#&Electronics && Communication Engineering&#Neural Networks and Applications#Prof. Somnath Sengupta#1#Video
122#117105078#&Electronics && Communication Engineering&#Digital Computer Organization#Prof. P.K. Biswas#1#Video
123#108105059#Electrical Engineering#Estimation of Signals and Systems#Prof. S. Mukhopadhyay#1#Video
124#108105055#Electrical Engineering#Digital Signal Processing#Prof. T.K. Basu#1#Video
125#112105123#Mechanical Engineering#Basic Thermodynamics#Prof. S.K. Som#1#Video
126#114105029#Ocean Engineering#Applied Thermodynamics for Marine Systems#Prof. P.K. Das#1#Video
127#106105083#Computer Science and  Engineering#Electronic Design Automation#Prof. Indranil Sengupta#1#Video
128#106105085#Computer Science and  Engineering#Programming and Data Structure#Dr. P.P.Chakraborty#1#Video
129#105105105#Civil Engineering#Design of Reinforced Concrete Structures#Prof. N. Dhang#1#Video
130#122105021#Basic courses(Sem 1 and 2)#Leadership#Prof. Kalyan Chakravarti#1#Video
131#122105022#Basic courses(Sem 1 and 2)#Management Information System#Prof. Biswajit Mahanty#1#Video
132#122105024#Basic courses(Sem 1 and 2)#Strategic Management#Prof. Kalyan Chakravarti#1#Video
133#122105020#Basic courses(Sem 1 and 2)#Human Resource Management-I#Prof. Kalyan Chakravarti#1#Video
134#113105057#Metallurgy and Material Science#Advanced Materials and Processes#Prof. B.S. Murty#1#Video
135#122102009#Basic courses(Sem 1 and 2)#Numerical Methods and Computation#Prof. S. R. K. Iyengar#1#Video
136#108102043#Electrical Engineering#Control Engineering#Prof. M. Gopal#1#Video
137#108102080#Electrical Engineering#Power System Dynamics#Dr. M.L. Kothari#1#Video
